5.1. Seberapa puas Anda terhadap Anda menilai kemampuan mentor dalam menjelaskan materi?,"5.2. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.3. Metode pembelajaran apa yang digunakan oleh mentor?,5.4. Seberapa puas Anda terhadap metode pembelajaran yang digunakan oleh mentor?,5.5. Seberapa puas Anda terhadap materi kelas Program GIKnowledge Building 2025?,"5.6. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.7. Apakah materi dan kegiatan yang diberikan sesuai dengan kebutuhan pengembangan Anda?,5.8. Apakah Program GIKnowledge Building membantu Anda memahami hal-hal baru yang relevan dengan rencana pekerjaan atau karier Anda?,5.9. Apakah Anda merasa lebih percaya diri setelah mengikuti program ini?,"5.10. Sejauh mana program ini memberi dampak positif bagi cara Anda bekerja, berpikir, atau berkolaborasi?",5.11. Bagaimana pendapat Anda tentang jadwal dan durasi setiap sesi?,5.12. Seberapa puas Anda terhadap fasilitas kelas GIKnowledge Building 2025?,"5.13. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.14. Seberapa puas Anda terhadap Tim GIK dalam memberikan bimbingan dan dukungan yang cukup selama  penyelenggaraan Program GIKnowledge Building 2025?,"5.15. Jika Anda menjawab ""Tidak puas"", atau ""Sangat tidak puas"" pada pertanyaan sebelumnya, faktor apa saja yang mempengaruhi ketidakpuasan Anda?",5.16. Apa manfaat utama yang Anda rasakan setelah mengikuti program ini?,5.17. Apa hal terbaik dari Program GIKnowledge Building 2025 yang sebaiknya dipertahankan?,"5.18. Apakah ada topik, metode, atau aktivitas baru yang ingin Anda tambahkan pada pelaksanaan selanjutnya?","5.19. Berdasarkan level kepuasanmu terhadap keseluruhan pelaksanaan program sejauh ini, seberapa mungkin Anda memberi rekomendasi ke teman atau mahasiswa lain untuk mengikuti Program GIKnowledge Building?","5.20. Jika Anda menjawab ""Sangat direkomendasikan"", atau ""Direkomendasikan"" pada pertanyaan sebelumnya, Berikan alasan mengapa Anda bersedia merekomendasikan program GIKnowledge Building ini kepada teman atau mahasiswa lain?",5.21. Ceritakan pengalaman berkesan selama Anda mengikuti Program GIKnowledge Building!,5.22. Berikan saran perbaikan untuk pengembangan dan keberlanjutan Program GIKnowledge Building!
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Pengalaman diskusi dengan mentor perusahaan,Visitasi perusahaan,Frekuensi visitasi perusahaan diperbanyak,Sangat direkomendasikan,Mendapat pengalaman berharga (dapat diskusi dengan mentor perusahaan),Masuk ke area produksi PT perusahaan mitra dan melihat langsung bagaimana proses kerja yang ada,-
Puas,Pertanyaan tidak relevan,Ceramah,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,dapet banyak insight,visit ke mitra,mau ada surat izin resmi biar bisa cabut kelas,Netral,netral,main ke perusahaan mitra dan melihat sesuatu lebih awal sebelum di rilis,jadwal kelasnya tolong di fix in lebih awal biar ga tabrakan sama kelas/praktikum
Sangat puas,Pertanyaan tidak relevan,Kunjungan lapangan,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,mengetahui hal baru yang ada di lapangan,kunjungan lapangan,waktu pelaksanaan diperpanjang dan mungkin bisa ditambahkan dengan praktik langsung ,Sangat direkomendasikan,"karna programnya bagus, menambah wawasan baru yang terjadi di lapangan dan menambah jejaring sosial",seru ketika melakukan kunjungan langsung ke lapangan,"pelaksanaannya di perpanjang, karna kemarin ga kerasa tiba” selesai huhu"
Netral,Pertanyaan tidak relevan,N/A,Netral,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,N/A,N/A,N/A,Netral,N/A,N/A,N/A
Sangat puas,Pertanyaan tidak relevan,Kegiatan interaktif,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Terlalu singkat,Puas,Fasilitas kurang inklusif,Puas,Pertanyaan tidak relevan,Mendapatkan skill baru,Fokus terhadap praktik tidak hanya semonar,Perbanyak mitra,Sangat direkomendasikan,Direkomendasikan,Seru karena praktik langsung,"Informasi jadwal jangan terlalu dadakan, perbanyak mitra, "
Puas,Pertanyaan tidak relevan,Praktik dan simulasi,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Mengetahui lebih jauh terkait fitur live perusahaan mitra,Staf humble dan know how to answer,Handle a mini event,Direkomendasikan,"insighful, full doorprize ",nyobain live perusahaan mitra pertama kali ,Ketepatan waktu mulai dan selesai acara
Netral,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu panjang,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Melatih diri menjadi lebih berani dan membangun koneksi,Fasilitas yang memadai,Memperbanyak mitra yang relevan dengan bermacam prodi,Sangat direkomendasikan,Karena sangat bermanfaat untuk pengembangan diri,-,Mungkin durasinya bisa dipersingkat
,,,,,,,,,,,,,,,,,,,,,
Netral,Pertanyaan tidak relevan,Ceramah,Netral,Tidak puas,"Materi dan/atau topik kurang relevan, Materi dan/atau topik tidak sesuai ekspektasi",Tidak,Tidak,Tidak,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,Belajar hal baru,Metode belajar yg interaktif ,"Mungkin bisa di spesifikin sih topiknya, jangan yg terlalu general, belakangan ini kan pwc hadir di GIK mungkin itu bisa (business consulting)",Netral,N/A,"Seru sih, aku dapet temen baru. Cuma sayangnya ga sesuai ekspektasi aku aja","Next time detail ya infonya, biar ga kaya di scam"
Puas,Pertanyaan tidak relevan,Kegiatan interaktif,Puas,Puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,membantu pengembangan karir,fasilitas,perbanyak pilihan mitra,Direkomendasikan,untuk menambah wawasan,menambah pengetahuan,jangan asal lempar mahasiswa ke kelas yang bukan pilihannya
Sangat puas,.,Kegiatan interaktif,Sangat puas,Sangat puas,.,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,.,Sangat puas,.,Jadi lebih paham mengenai livestream,Materinya,Tidak ada,Sangat direkomendasikan,Karena akan menambah pengetahuan dan softskill,Jadi kebih tau dunia perusahaan mitra,-
Netral,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Netral,Pertanyaan tidak relevan,Tidak,Tidak,Ya,Netral,Cukup/ideal,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,-,-,-,Netral,-,-,-
Sangat puas,Pertanyaan tidak relevan,Diskusi,Sangat puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Menambah wawasan dan relasi,Konsisten dan Sistem pembelajaran,Belum,Sangat direkomendasikan,N/A,Menemukan teman baru dan mentor yang luar biasa,Pertahankan
Netral,Pertanyaan tidak relevan,Diskusi,Netral,Netral,Pertanyaan tidak relevan,Tidak,Tidak,Tidak,Netral,Terlalu panjang,Netral,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,-,-,jam dan harinya yang lebih fleksibel dan mahasiswa friendly,Netral,N/A,-,-
Sangat puas,Pertanyaan tidak relevan,Diskusi,Puas,Sangat puas,Pertanyaan tidak relevan,Ya,Ya,Ya,Netral,Cukup/ideal,Puas,Pertanyaan tidak relevan,Puas,Pertanyaan tidak relevan,menambah insight baru,materi yg diberikan,tidak,Direkomendasikan,materi yg diberikan bagus dan insightful,mentor yg memberikan materi menjelaskan materi dengan baik dan mudah dipahami,tidak ada
Puas,;,;,Netral,Netral,;,Ya,Ya,Tidak,Netral,Cukup/ideal,Netral,;,Netral,;,Jejarng dan relasi,Jejaring dan relasi ,Job interview ,Netral,N/A,"Keren untuk menunjang karir masa depan, inspiratif ",Lebih banyak lagi aplikasi ke lapangan 
Sangat puas,",",Kegiatan interaktif,Sangat puas,Sangat puas,",",Ya,Ya,Ya,Sangat berdampak,Cukup/ideal,Sangat puas,",",Sangat puas,",",menambah wawasan dan kegiatan yg perlu filatih sebelum masuk di tempat keeja,interaktif,belum ada,Sangat direkomendasikan,sangat bagus untuk meningkatkan skill,bisa menjadi bagian untuk mengikuti kegiatan GIKnowledge Building,-
Puas,;,Praktik dan simulasi,Netral,Puas,;,Tidak,Tidak,Ya,Berdampak,Terlalu singkat,Netral,Pertanyaan tidak relevan,Netral,Pertanyaan tidak relevan,Relasi,Kelas offline,FPGA,Netral,N/A,Bisa berinteraksi dengan banyak orang hebat,Tambah soal kelas yang lebih teknis terutama elektro
Netral,Pertanyaan tidak relevan,Kegiatan interaktif,Netral,Netral,Pertanyaan tidak relevan,Ya,Ya,Ya,Berdampak,Terlalu singkat,Sangat puas,Pertanyaan tidak relevan,Sangat puas,Pertanyaan tidak relevan,Pengembangan kemampuan yang profesional di bisang kerja ,Mentor dan materi yang diberikan sesuai dengan kondisi lapangan,Tidak ada,Sangat direkomendasikan,"Networking, peningkatan skill, pengetahuan yang komprehensif","Mentor dan partisipan aktif, diberikan modul dan tugas di google classroom",Durasi pertemuannya di tambah agar materi dapat tersampaikan dengan baik
